eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,multiple,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
2.01512E+11,2015,12,26,California,Tracy,37.764563,-121.452503,0,1,0,Armed Assault,,Religious Figures/Institutions,Place of Worship,Tracy Islamic Center,Mosque,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01604E+11,2016,4,21,Idaho,Bonners Ferry,48.684131,-116.316826,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,St. Ann's Curch,Catholic Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Major (likely > $1 million but < $1 billion),0,,,,,,,,-9,-9,0,-9,0
2.01604E+11,2016,4,26,Massachusetts,Haverhill,42.7678,-71.04865,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Riverside Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01605E+11,2016,5,25,Washington,Vancouver,45.672237,-122.658793,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,First Congregational Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Major (likely > $1 million but < $1 billion),0,,,,,,,,-9,-9,0,-9,0
2.01605E+11,2016,5,25,California,Modesto,37.664764,-120.994427,0,1,0,Facility/Infrastructure Attack,,Abortion Related,Clinics,"Planned Parenthood Federation of America, Inc.",Health Center,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Gasoline or Alcohol,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01605E+11,2016,5,26,Washington,Vancouver,45.710821,-122.635039,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Liberty Bible Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01606E+11,2016,6,5,New York,New York City,40.632326,-74.078752,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,St. Paul's Memorial Church,Episcopal Church,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01606E+11,2016,6,9,New York,New York City,40.628247,-74.079766,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Unknown,First Central Baptist Church,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01607E+11,2016,7,5,Missouri,St. Louis,38.70333,-90.248796,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Greater St. Paul Missionary Baptist Church,Church,United States,,,,,,,,,,,Black Hebrew Israelites,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01607E+11,2016,7,7,Texas,College Station,30.62228,-96.347518,0,1,0,Armed Assault,,Religious Figures/Institutions,Affiliated Institution,Unknown,Islamic Community Center,United States,,,,,,,,,,,Anti-Muslim extremists,,,0,1,0,0,,Firearms,Unknown Gun Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01607E+11,2016,7,17,Florida,Daytona Beach,29.200533,-81.034508,0,1,0,Facility/Infrastructure Attack,,Police,Police Patrol (including vehicles and convoys),Daytona Beach Police Department (DBPD),Vehicle,United States,,,,,,,,,,,Anti-Police extremists,,,0,1,0,1,Note left at scene,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01607E+11,2016,7,25,Nevada,Las Vegas,36.162257,-115.138854,0,1,1,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Unknown,Mormon Church,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01607E+11,2016,7,25,Nevada,Las Vegas,36.162665,-115.139832,0,1,1,Facility/Infrastructure Attack,,Other,Fire Fighter/Truck,Las Vegas Fire and Rescue Department (LVFRD),Union Hall,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01607E+11,2016,7,27,Florida,Tampa,27.987652,-82.550249,0,1,0,Facility/Infrastructure Attack,,Educational Institution,School/University/Educational Building,Islamic Education Center,Education Center,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01607E+11,2016,7,31,Iowa,Oskaloosa,41.291673,-92.649359,1,1,1,Facility/Infrastructure Attack,,Utilities,Oil,Dakota Access LLC,Construction Site of Dakota Access Oil Pipeline,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01608E+11,2016,8,1,Iowa,Newton,41.703318,-93.057353,1,1,1,Facility/Infrastructure Attack,,Utilities,Oil,Energy Transfer Partners,Dakota Access Oil Pipeline Construction Site,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01608E+11,2016,8,1,Iowa,Reasnor,41.577354,-93.024003,1,1,1,Facility/Infrastructure Attack,,Utilities,Oil,Energy Transfer Partners,Dakota Access Oil Pipeline Construction Site,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01608E+11,2016,8,5,Florida,Tampa,28.032289,-82.408025,0,1,1,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Masjid Omar Mosque,Mosque,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Gasoline or Alcohol,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01608E+11,2016,8,9,New York,New City,41.166236,-73.991496,0,1,1,Bombing/Explosion,,Religious Figures/Institutions,Religious Figure,Unknown,Rabbi: Avremel Kotlarsky,United States,,,,,,,,,,,Unknown,,,0,4,0,0,,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01608E+11,2016,8,9,New York,New City,41.162402,-74.004905,0,1,1,Bombing/Explosion,,Religious Figures/Institutions,Religious Figure,Unknown,Rabbi: Simcha Morgenstern,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,-9,,0,,,,,,,,-9,-9,0,-9,0
2.01608E+11,2016,8,23,Massachusetts,Salem,42.521477,-70.895532,0,1,0,Bombing/Explosion,,Journalists & Media,Newspaper Journalist/Staff/Facility,Rainbow Times,Newspaper Box,United States,,,,,,,,,,,Unknown,,,0,7,0,0,,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01609E+11,2016,9,2,Nevada,Las Vegas,36.197294,-115.131528,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Holy Trinity African Methodist Episcopal Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01609E+11,2016,9,24,Missouri,Kansas City,39.099432,-94.578029,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Islamic Center of Northland,Mosque,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.0161E+11,2016,10,3,Nebraska,Lincoln,40.846274,-96.700467,0,1,1,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Belmont Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.0161E+11,2016,10,3,Nebraska,Lincoln,40.846244,-96.700429,0,1,1,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Belmont Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.0161E+11,2016,10,4,Indiana,Indianapolis,39.825657,-86.227067,0,1,0,Armed Assault,,Police,"Police Building (headquarters, station, school)",Indianapolis Metropolitan Police Department,Headquarters,United States,,,,,,,,,,,Anti-White extremists,,,0,1,1,1,Note left at scene,Firearms,Automatic Weapon,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.0161E+11,2016,10,9,Florida,Century,30.963733,-87.267362,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Wesley Chapel Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Unknown,0,,,,,,,,-9,-9,0,-9,0
2.0161E+11,2016,10,15,Iowa,Reasnor,41.578663,-93.022688,0,1,0,Facility/Infrastructure Attack,,Business,Gas/Oil,Dakota Access LLC,Oil Pipeline Construction Equipment,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Major (likely > $1 million but < $1 billion),0,,,,,,,,-9,-9,0,-9,0
2.0161E+11,2016,10,16,North Carolina,Hillsborough,36.060668,-79.101578,0,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Political Party Member/Rally,Republican Party (GOP),Office,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01611E+11,2016,11,23,New Mexico,Albuquerque,35.083511,-106.586552,0,1,0,Facility/Infrastructure Attack,,Business,Medical/Pharmaceutical,Project Defending Life,Pro-Life Pregnancy Center,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01611E+11,2016,11,25,Washington,Tacoma,47.154901,-122.368098,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Our Savior Lutheran Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.01612E+11,2016,12,7,California,Redlands,34.053546,-117.181537,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,First Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
